,X_UTME,Y_UTMN,Z_TVDSS,POLY_ID
201,461811.970184,5936581.836182,1709.404175,2
202,461903.504608,5936425.682129,1707.727661,2
203,461919.018402,5936390.469238,1707.254883,2
204,462007.507782,5936181.621094,1704.385376,2
205,462007.667847,5936181.041992,1704.375854,2
206,462043.379181,5936069.880615,1702.638062,2
207,462072.597626,5935978.835449,1701.197144,2
208,462073.031433,5935977.187744,1701.116211,2
209,462078.502441,5935955.455078,1699.90332,2
210,462081.757874,5935942.402344,1699.157104,2
211,462095.285095,5935854.24585,1694.044678,2
212,462132.448425,5935686.123291,1684.393433,2
213,462159.087463,5935591.998535,1679.040527,2
214,462175.221741,5935531.719482,1675.604492,2
215,462207.035278,5935455.887939,1671.381714,2
216,462220.31781,5935425.956299,1669.721191,2
217,462234.038208,5935403.969727,1668.535767,2
218,462257.797424,5935367.001465,1666.548584,2
219,462289.858948,5935315.577148,1663.363647,2
220,462388.653503,5935194.345703,1655.473022,2
221,462400.316528,5935180.061035,1654.542847,2
222,462435.389404,5935145.15625,1652.161743,2
223,462440.583557,5935140.178711,1651.819092,2
224,462507.509583,5935075.745117,1647.264771,2
225,462546.90564,5935041.36499,1644.77063,2
226,462656.890747,5934941.27832,1637.591675,2
227,462729.40979,5934873.60083,1632.769409,2
228,462781.886597,5934826.021484,1629.353271,2
229,462817.966187,5934793.28418,1626.991577,2
230,462909.347778,5934705.094604,1620.727661,2
231,462971.750977,5934629.331543,1615.618652,2
232,463051.269531,5934543.300293,1609.670776,2
233,463061.128418,5934528.607666,1608.717896,2
234,463119.172241,5934456.699829,1609.761108,2
235,463159.845337,5934409.684448,1610.51416,2
236,463225.204834,5934329.500854,1611.69397,2
237,463273.932861,5934258.140015,1612.497681,2
238,463319.03125,5934192.283936,1613.321899,2
239,463489.511963,5933953.662842,1616.515137,2
240,463549.407959,5933873.505981,1617.664795,2
241,463585.195923,5933825.953247,1618.354248,2
242,463713.797363,5933653.634644,1620.10022,2
243,463804.405029,5933543.736694,1621.446045,2
244,463863.305908,5933470.754639,1622.305298,2
245,463889.500977,5933436.59259,1621.75061,2
246,463921.730957,5933404.872131,1621.651245,2
247,463994.733887,5933333.247314,1621.438843,2
248,464030.18335,5933307.073242,1621.822266,2
249,464092.646973,5933261.077209,1622.505005,2
250,464152.779053,5933218.721741,1623.270996,2
251,464179.409668,5933203.921936,1623.834106,2
252,464232.912109,5933174.409241,1625.179443,2
253,464278.473877,5933148.410553,1626.27832,2
